X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
921,603
895,579
878,545
864,505
854,473
854,473
847,449
841,429
837,413
834,400
830,390
830,390
827,382
824,376
822,373
820,371
818,371
818,371
816,372
816,374
815,376
816,377
817,377
817,377
817,377
816,377
812,375
805,372
795,371
795,371
782,370
767,370
753,372
744,378
735,382
735,382
725,384
715,389
708,395
701,398
695,401
695,401
690,403
686,404
682,403
676,401
667,398
667,397
657,394
646,391
636,389
635,387
638,391
638,391
638,396
637,403
636,409
636,414
636,417
636,417
635,419
634,420
634,421
634,421
634,421
634,421
634,420
635,420
635,419
635,418
635,417
635,417
635,415
634,414
634,413
634,413
637,413
637,413
641,415
648,419
658,426
674,440
696,461
695,461
723,487
753,517
786,551
822,579
861,600
861,600
886,613
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
