X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
759,612
760,587
760,549
760,510
760,477
760,477
759,451
759,429
759,411
759,397
760,385
760,385
761,375
763,367
765,360
768,356
771,354
771,354
773,354
774,356
775,359
775,362
774,364
774,364
773,366
772,367
773,368
775,368
776,368
776,368
778,368
778,368
775,367
768,365
760,363
760,363
751,361
744,357
736,355
728,354
719,354
719,354
710,356
703,358
698,361
695,364
692,367
692,367
690,371
688,374
688,376
688,376
689,375
689,375
690,372
691,368
692,363
692,359
692,360
692,360
685,363
677,367
671,376
665,385
662,393
662,393
661,399
661,402
662,402
664,399
665,395
665,395
667,387
670,375
673,366
679,361
686,357
686,357
690,355
694,354
697,352
698,351
697,351
697,351
696,351
694,351
693,352
692,352
693,352
693,352
694,352
694,352
694,352
694,352
694,352
694,352
694,352
695,352
695,352
696,352
696,352
696,352
696,353
696,354
697,354
697,355
698,356
698,356
698,356
698,357
699,358
699,359
700,360
700,360
702,364
707,375
718,391
734,411
756,437
756,437
782,470
811,509
843,553
882,588
919,614
919,614
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
