X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
894,602
865,567
844,518
844,518
828,474
818,439
811,415
808,398
806,388
806,388
805,383
804,382
803,384
803,387
802,391
802,391
801,393
800,395
800,397
799,399
799,400
799,400
799,401
799,403
799,403
798,402
794,400
794,400
788,397
780,393
768,390
755,385
741,379
741,379
727,374
713,371
700,370
690,371
682,375
682,375
676,379
671,384
667,390
664,393
661,397
661,397
659,399
659,401
656,401
651,400
644,400
644,400
638,397
632,393
628,391
626,389
629,391
629,391
631,393
630,393
629,393
627,392
626,392
626,392
626,393
627,394
627,395
627,396
627,396
627,396
626,396
624,396
623,396
622,395
622,395
622,395
621,395
621,394
620,394
620,393
620,393
620,393
620,393
620,394
619,395
618,395
618,396
618,396
617,396
616,398
617,402
619,408
623,419
623,419
630,436
641,458
658,484
683,515
713,547
713,547
750,575
793,595
837,612
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
