X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
920,616
873,596
851,575
851,575
837,544
827,513
819,490
813,473
809,462
809,462
805,453
803,446
801,442
801,439
801,437
801,437
802,435
803,434
804,435
805,436
806,438
806,438
807,439
807,440
807,440
807,439
806,439
806,439
806,438
804,436
802,434
797,432
791,428
791,428
784,423
776,418
766,414
756,410
745,408
745,408
734,406
724,404
715,404
706,404
698,405
698,405
692,407
686,409
682,412
679,415
677,418
677,418
676,421
676,424
675,425
674,426
673,427
673,427
673,427
673,426
672,426
672,425
672,424
672,424
671,423
671,423
672,422
675,421
681,422
681,422
690,426
705,432
724,445
745,462
766,487
766,487
789,517
813,554
841,588
871,610
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
