X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
859,609
843,584
832,549
823,513
817,484
817,484
814,463
813,448
813,439
812,437
811,437
811,437
810,437
808,439
808,441
808,443
807,445
807,445
807,445
800,442
792,436
785,430
779,426
779,426
779,424
776,425
772,424
768,422
765,421
765,421
764,421
765,422
767,424
769,425
770,426
770,426
771,428
770,429
770,430
769,432
768,433
768,433
767,433
767,433
765,433
763,431
757,428
757,428
750,423
742,418
731,415
719,411
707,408
707,408
694,405
680,401
667,396
655,391
645,386
645,386
637,382
632,379
629,378
628,378
627,379
627,379
625,380
624,382
622,384
621,385
621,385
621,385
621,386
621,386
621,386
620,386
620,386
620,386
620,386
620,386
620,386
620,386
620,386
621,386
621,386
621,386
621,386
621,386
621,386
621,386
621,386
621,387
621,387
622,388
625,391
625,391
630,396
640,407
655,425
675,449
699,477
699,477
724,510
751,549
781,585
816,610
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
