X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
857,616
831,595
831,595
810,564
795,524
784,488
776,459
771,436
771,436
769,418
767,407
766,399
766,395
765,392
765,392
764,389
763,385
762,380
761,373
758,365
758,365
757,359
758,356
765,367
766,392
766,404
766,404
767,410
766,417
765,421
765,424
763,426
763,426
761,427
759,426
756,424
752,421
746,416
746,416
735,409
720,398
705,391
693,388
681,386
681,386
671,387
662,387
656,389
652,390
649,392
649,392
647,393
647,394
647,395
647,396
648,397
648,397
648,397
650,397
651,397
652,397
652,397
652,397
652,397
652,397
651,396
652,396
652,395
652,395
652,395
653,396
653,397
654,399
656,402
656,402
660,406
669,414
683,426
701,443
724,466
724,466
749,494
778,527
809,565
843,594
876,614
876,614
0,0
0,0
0,0
0,0
0,0
