X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
916,619
889,595
889,595
852,554
817,503
788,456
766,418
748,389
748,389
733,366
723,350
715,340
710,334
705,332
705,332
702,332
700,336
699,342
699,348
699,353
699,353
700,357
701,359
703,358
706,353
710,347
710,347
717,341
722,338
728,339
732,342
732,345
732,345
732,348
732,351
732,353
731,354
729,354
729,354
728,356
727,357
726,358
726,358
726,358
726,358
725,357
724,356
721,355
717,354
712,352
712,352
704,351
695,350
683,348
670,346
656,346
656,346
643,347
631,349
620,351
611,354
604,356
604,356
600,357
596,359
593,361
590,364
588,366
588,366
586,367
585,368
585,368
586,367
588,367
588,367
589,367
590,366
590,365
590,365
589,365
589,365
588,365
589,366
590,368
592,370
596,372
596,372
603,376
615,382
632,391
654,406
682,426
682,426
713,453
748,485
783,522
820,564
867,596
867,596
910,618
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
