X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
884,610
869,589
869,589
851,563
836,529
826,492
818,462
813,439
813,439
809,422
806,410
803,404
800,402
797,403
797,403
795,405
794,407
794,408
794,406
795,401
795,401
798,392
802,377
806,363
809,352
812,344
812,344
814,339
816,337
817,336
817,338
817,340
817,340
817,343
817,345
816,347
815,347
813,348
813,348
809,348
802,348
790,349
775,351
756,352
756,352
734,355
714,359
697,362
682,365
671,368
671,368
664,370
658,373
653,374
649,375
646,377
646,377
643,378
641,379
640,379
639,379
640,379
640,379
640,379
641,379
642,379
642,378
643,377
643,377
646,376
652,377
661,381
675,389
694,403
694,403
718,423
745,447
775,479
804,518
834,560
834,560
868,593
898,614
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
