X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
892,618
859,593
841,559
841,559
827,515
816,477
810,446
806,422
804,404
804,404
803,391
801,383
799,378
796,376
793,376
793,376
791,376
789,377
788,377
787,377
787,377
787,377
786,377
786,377
785,377
785,378
785,378
785,378
785,378
785,377
785,377
784,376
784,375
784,375
782,373
779,371
774,369
766,367
756,365
756,365
745,363
735,361
724,358
715,355
706,352
706,352
699,348
693,343
688,341
684,338
682,337
682,337
679,337
677,338
675,339
673,341
671,342
671,342
670,343
669,344
668,345
667,346
667,347
667,347
666,347
666,347
666,346
667,346
668,345
668,345
669,345
671,345
672,344
674,344
678,344
678,344
682,343
687,344
693,347
699,353
708,365
708,365
720,384
735,412
753,443
774,480
801,524
801,524
832,571
869,602
906,621
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
