X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
904,614
868,589
841,553
841,553
821,512
809,479
801,453
797,434
794,420
794,420
792,411
791,405
790,403
789,402
788,402
788,402
788,403
789,405
790,408
791,410
793,412
793,412
794,412
795,412
796,411
797,409
798,405
798,405
798,398
797,392
797,388
796,386
796,384
796,384
795,384
795,384
795,385
794,386
794,388
794,388
793,389
792,389
790,390
787,390
783,391
783,391
776,390
768,389
758,387
748,385
738,383
738,383
727,378
716,374
707,371
696,366
687,362
687,362
681,359
678,358
677,360
674,361
670,363
670,363
667,364
665,365
664,366
663,366
663,367
663,367
663,367
663,368
663,369
662,369
662,368
662,368
662,368
662,367
662,367
662,367
662,367
662,367
662,367
661,367
661,368
661,369
663,368
663,368
667,369
675,374
688,388
705,411
724,441
724,441
746,476
771,516
802,560
838,595
880,615
880,615
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
