X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
890,621
891,621
855,599
833,575
819,542
808,509
802,484
802,484
798,465
797,451
796,441
795,436
793,433
793,433
791,430
789,425
786,419
780,411
773,402
773,402
767,393
764,388
766,390
767,393
768,399
768,399
768,404
769,409
771,413
773,416
775,418
775,418
775,418
775,418
775,418
775,418
774,418
774,418
772,416
768,412
761,402
752,390
740,383
740,383
729,378
719,375
708,373
699,372
690,373
690,373
683,374
677,377
674,380
672,384
672,387
672,387
673,388
674,387
675,385
677,382
679,378
679,378
680,372
680,370
680,369
679,369
679,370
679,370
679,372
678,373
678,374
678,375
678,376
678,376
678,376
678,376
678,377
678,377
678,377
678,377
678,377
678,377
679,377
679,377
679,377
679,377
679,376
679,376
679,376
678,377
678,377
678,377
678,378
678,378
678,379
680,380
683,383
683,383
690,389
703,402
722,420
746,443
775,471
775,471
807,507
840,550
874,586
904,609
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
