X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
912,618
903,601
888,579
888,579
875,547
864,518
855,494
849,475
845,461
845,461
842,451
842,444
843,439
846,436
848,433
848,433
851,432
853,430
854,430
855,430
854,431
854,431
854,433
854,436
854,438
854,440
855,441
855,441
855,442
856,442
856,442
856,441
854,440
854,440
851,438
847,436
841,432
833,429
824,425
824,425
813,420
802,415
789,411
775,408
761,406
761,406
749,405
738,405
729,407
722,411
716,416
716,416
711,422
707,425
705,426
704,422
703,416
703,416
701,407
698,398
697,394
696,393
691,395
691,395
685,400
680,409
675,418
672,425
671,427
671,427
673,425
675,420
675,411
672,400
678,390
678,390
689,385
697,384
703,383
708,382
710,383
710,383
710,385
708,389
705,393
701,398
698,402
698,402
696,406
696,409
697,410
697,411
697,411
697,411
697,410
696,409
696,407
695,406
695,405
695,405
695,405
695,405
695,405
696,405
696,405
696,405
698,406
701,409
706,413
714,419
728,429
728,429
745,444
764,463
786,488
811,519
838,556
838,556
870,586
907,608
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
