X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
848,618
826,601
807,581
807,581
794,555
785,525
779,498
776,476
774,458
774,458
773,446
772,438
771,435
770,438
769,438
769,438
769,438
768,439
769,440
769,442
768,442
768,442
766,441
762,437
757,432
751,426
749,420
749,420
747,416
748,417
748,417
745,415
744,414
744,414
742,413
742,414
742,416
742,418
743,419
743,419
743,420
743,420
743,419
742,418
741,416
741,416
739,413
732,409
722,405
707,405
693,409
693,409
683,412
674,416
666,420
658,423
652,425
652,425
645,426
639,426
633,426
628,426
624,426
624,426
621,427
618,428
617,429
617,430
617,430
617,430
617,431
617,431
617,431
618,430
618,430
618,430
618,429
618,429
618,428
618,428
618,428
618,428
618,427
621,427
628,428
638,431
652,437
652,437
671,447
693,461
718,481
743,504
769,532
769,532
794,563
820,587
849,604
869,618
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
