X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
935,606
890,589
890,589
864,570
846,540
831,507
819,480
809,459
810,459
803,443
799,431
795,424
791,421
787,421
787,421
784,420
782,419
779,416
775,412
771,408
768,404
768,402
770,403
770,403
774,410
775,416
775,416
774,421
772,426
771,432
771,438
772,441
772,441
773,442
774,441
773,440
770,437
765,433
765,433
756,426
744,419
731,412
722,406
716,403
716,403
709,402
701,400
692,400
684,399
677,399
677,398
670,399
665,401
662,403
660,405
660,407
660,407
661,408
662,408
663,408
663,407
663,404
663,404
663,399
664,394
663,393
662,393
662,394
662,394
662,396
662,397
662,398
663,400
663,401
663,401
664,402
664,404
665,405
668,407
673,411
673,411
685,420
703,433
728,450
757,471
790,496
790,496
824,522
857,549
891,569
923,583
959,593
959,592
999,599
1046,611
1076,623
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
