X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
909,611
871,591
846,568
829,537
817,510
817,511
808,490
802,474
799,464
796,457
793,453
793,453
791,452
788,452
787,453
786,455
786,457
786,457
786,459
785,460
784,459
779,456
773,451
773,451
765,445
755,439
743,435
731,430
717,428
717,428
702,426
689,426
678,427
669,428
663,431
663,431
659,435
657,438
656,442
655,444
656,446
656,446
656,447
657,448
657,448
658,448
659,448
659,448
660,448
660,447
660,446
660,446
660,446
660,446
659,446
660,446
660,447
662,448
665,449
665,449
669,451
677,455
687,459
703,467
722,478
722,477
745,492
770,509
797,530
824,553
853,573
853,573
883,589
917,603
950,616
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
