X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
909,619
909,619
867,597
836,574
812,539
793,500
778,468
778,468
768,441
761,419
761,419
755,400
750,370
750,370
749,358
749,347
751,338
751,338
753,331
755,326
757,323
758,322
758,323
758,325
757,327
757,327
757,327
757,330
757,331
757,331
758,332
758,332
758,332
758,333
758,335
758,335
757,334
757,334
756,334
753,335
753,335
749,337
735,345
735,345
725,348
714,351
703,354
691,356
691,356
680,355
670,354
660,353
653,352
648,351
645,352
645,352
645,352
641,352
641,352
641,353
641,353
641,353
641,353
641,354
641,356
641,357
641,358
641,358
641,358
640,358
640,359
640,359
640,359
640,359
640,359
640,360
640,360
640,360
640,361
640,361
642,363
644,366
651,370
664,376
685,390
685,390
715,411
753,438
796,470
846,504
902,542
902,542
965,572
1032,594
1070,620
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
