X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
886,616
853,593
853,593
829,564
811,523
798,487
788,458
781,434
781,434
776,417
772,404
768,395
765,390
761,388
761,388
759,389
758,390
756,391
753,390
748,387
748,387
741,384
734,379
729,375
729,378
727,383
727,383
721,387
717,389
716,390
718,391
720,392
720,392
722,392
722,391
722,391
721,391
720,391
720,391
719,391
718,391
715,389
710,386
703,381
703,381
694,377
686,375
681,374
677,371
673,366
673,366
669,358
664,353
661,347
658,342
657,338
657,338
656,335
655,332
655,331
655,331
655,331
655,331
656,332
656,333
656,334
656,334
656,334
656,334
655,334
654,333
652,331
650,329
647,328
647,328
643,327
640,327
636,327
633,328
630,329
630,329
629,330
628,331
627,332
627,333
626,333
626,333
626,333
626,333
626,334
627,335
630,336
630,336
635,339
644,345
654,355
669,376
687,406
687,406
710,442
736,481
763,523
792,566
822,595
823,595
854,613
0,0
0,0
0,0
0,0
0,0
0,0
0,0
