X,Y
0,0
0,0
842,713
833,698
826,671
819,623
810,565
810,565
796,511
777,469
763,438
757,416
752,404
752,404
748,400
747,397
747,396
746,396
743,395
743,395
739,391
733,386
728,378
726,372
728,372
728,372
730,375
728,378
726,381
725,386
725,391
725,391
725,394
725,397
726,398
726,398
726,398
726,397
725,397
724,396
723,395
720,394
718,393
718,393
713,392
706,391
698,389
688,387
679,385
679,385
669,383
660,382
649,382
638,383
629,383
629,383
622,383
616,384
611,388
606,393
602,395
602,395
599,398
597,400
595,402
593,403
591,403
591,403
586,401
578,399
567,395
556,392
558,393
558,393
559,404
555,412
551,416
549,416
550,411
550,411
551,405
550,398
550,389
557,380
564,372
564,372
571,363
576,353
580,350
583,352
580,353
580,353
577,355
575,356
574,357
574,357
574,358
574,358
574,358
574,358
574,360
575,362
577,368
577,368
582,378
592,394
608,417
629,446
653,481
653,481
680,521
710,568
741,619
778,672
807,698
806,697
827,713
0,0
