X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
876,611
844,585
844,585
820,545
802,508
788,479
778,457
770,440
770,440
766,427
763,417
762,409
763,402
765,398
765,398
769,395
772,395
774,395
775,397
775,399
775,399
774,401
773,403
772,405
771,405
768,404
768,404
763,401
753,396
741,393
727,390
713,390
713,390
704,391
698,393
694,397
692,403
688,412
688,412
684,421
682,424
679,426
677,427
674,427
674,427
671,425
666,423
661,419
654,415
648,413
648,413
643,415
640,420
640,428
637,436
634,441
634,441
632,446
630,447
629,448
627,449
627,449
627,449
627,449
628,450
628,450
628,450
628,451
628,451
628,450
628,450
629,450
632,450
636,452
636,452
641,455
650,461
662,469
676,478
692,491
692,491
710,509
733,535
762,564
794,587
831,608
831,608
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
