X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
921,611
921,611
899,588
879,550
865,514
855,485
849,462
849,462
846,443
844,429
844,417
844,408
844,400
844,400
844,393
844,387
844,382
844,379
844,377
844,377
843,376
841,376
840,377
838,378
837,379
837,379
837,380
838,382
839,383
840,384
840,385
841,385
840,386
839,386
837,385
832,384
826,382
826,382
820,378
813,375
805,371
795,367
785,366
785,366
775,364
765,362
754,360
744,358
734,356
734,356
726,354
717,352
709,352
701,351
695,352
695,352
690,352
687,353
686,353
686,352
689,350
689,350
691,349
691,348
691,353
696,359
705,366
705,366
713,372
720,376
725,379
726,380
725,380
725,380
723,379
721,378
718,377
716,377
714,378
714,378
714,381
717,387
723,397
734,413
749,436
749,436
768,466
791,506
816,554
842,588
870,610
870,610
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
