X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
850,607
832,587
817,560
818,560
807,526
799,499
794,476
791,458
790,445
790,445
790,434
790,425
790,417
790,410
791,405
791,405
792,400
793,397
794,395
794,394
795,394
795,394
796,395
797,395
798,396
799,397
800,397
800,397
800,398
801,398
801,399
801,399
801,399
801,400
801,400
801,400
801,400
801,399
800,399
800,399
799,399
797,398
795,396
791,394
785,392
785,392
776,387
764,380
751,371
739,361
726,353
726,353
715,349
706,348
697,350
689,354
682,360
682,360
677,366
673,371
672,374
671,374
670,372
670,372
668,369
667,367
666,366
665,366
664,367
664,367
663,369
662,371
662,372
661,373
661,373
661,373
661,372
661,370
661,369
661,368
661,367
661,367
661,367
663,367
665,367
669,366
676,365
676,365
688,369
704,379
724,396
746,420
769,448
769,448
795,481
824,519
855,560
890,593
924,613
924,613
0,0
