X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
899,622
899,621
855,599
833,571
818,529
807,492
798,464
798,464
793,442
788,428
783,419
778,416
772,416
772,416
767,414
763,413
759,412
756,411
752,409
752,409
748,405
742,399
734,392
726,385
722,379
722,379
722,379
722,384
720,388
717,392
713,395
713,395
711,398
710,400
709,401
708,401
706,401
706,401
706,401
705,401
704,399
701,395
696,390
696,390
691,384
684,379
676,374
670,366
665,358
665,358
661,351
659,347
657,346
655,346
654,347
654,347
653,348
652,350
651,352
650,353
649,354
649,354
649,355
649,356
650,356
650,356
650,356
650,356
650,356
649,356
648,355
648,355
648,355
648,355
647,354
647,354
647,355
648,356
651,358
651,358
659,364
674,374
693,391
718,414
745,442
745,442
773,478
801,517
830,560
862,597
888,617
887,617
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
