X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
869,618
863,598
843,562
843,562
820,515
799,465
783,423
771,388
764,362
765,362
761,344
760,332
760,324
761,319
762,317
762,317
765,316
768,318
771,323
773,329
775,337
775,337
777,344
778,350
780,354
782,355
782,354
782,354
783,354
782,353
781,353
778,352
772,349
772,349
764,344
755,336
744,329
732,322
718,314
718,314
705,308
694,306
686,308
679,313
675,321
675,321
669,329
664,335
660,342
658,346
658,349
658,349
659,348
657,346
653,342
649,337
644,333
644,333
640,332
640,336
642,346
642,352
640,357
640,357
639,362
640,367
640,371
640,373
639,375
639,375
638,376
637,376
636,376
635,375
634,374
634,374
633,373
631,373
630,373
629,373
629,375
629,375
630,378
635,383
640,389
650,404
668,428
668,428
692,457
720,493
752,534
787,576
827,604
827,604
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
