X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
924,610
886,583
886,583
852,535
826,491
808,455
796,427
787,406
787,406
781,391
776,381
773,373
771,369
770,366
770,366
770,364
770,364
771,365
771,367
771,370
771,370
771,372
772,374
772,377
774,379
775,381
775,381
776,382
776,383
776,384
775,384
774,385
774,385
771,385
766,386
759,386
750,386
738,385
738,385
727,383
716,381
708,378
700,376
692,376
692,376
687,378
682,381
680,388
677,392
673,395
673,395
670,396
669,397
668,397
667,394
663,389
663,389
656,384
648,378
642,372
635,367
629,364
629,364
624,364
621,365
621,370
618,374
613,377
613,377
608,381
604,384
600,388
597,391
595,394
595,394
592,396
591,397
590,397
590,397
590,396
590,396
591,396
591,396
591,396
591,396
592,396
592,396
593,396
596,397
599,397
604,397
610,396
610,396
618,399
633,407
655,422
684,445
718,473
718,473
757,510
802,555
853,591
898,615
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
