X,Y
0,0
0,0
0,0
0,0
889,605
889,605
876,585
865,553
858,520
852,493
850,473
850,473
848,459
847,450
846,444
846,440
846,438
846,438
845,437
845,436
846,437
846,437
847,437
847,437
848,437
848,438
848,438
848,438
848,439
848,439
848,440
848,440
848,440
847,440
847,439
847,439
846,438
845,437
841,434
835,431
826,428
826,428
814,425
800,422
785,419
771,415
758,411
758,411
747,408
736,406
723,406
712,410
702,411
702,411
694,412
688,413
685,415
684,418
684,420
684,420
684,423
684,425
684,427
685,429
686,429
686,429
687,429
688,428
688,428
688,427
688,427
688,427
688,426
687,426
687,426
687,427
686,427
686,427
687,428
687,428
689,430
692,433
697,440
697,440
706,450
720,464
737,481
757,501
778,524
778,524
801,550
825,576
854,594
885,607
914,620
914,620
0,0
0,0
0,0
0,0
0,0
0,0
0,0
