X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
868,618
846,601
827,580
814,548
814,548
805,514
799,485
796,460
795,440
795,425
795,425
795,413
795,404
795,397
794,393
792,389
792,389
790,387
789,387
788,387
787,388
787,389
787,389
786,391
786,392
785,393
785,393
785,393
784,393
784,393
784,393
783,392
781,390
778,388
778,388
774,385
767,382
758,379
745,378
733,377
733,377
722,377
712,377
702,376
695,377
689,378
689,378
686,379
684,381
682,386
681,387
681,388
681,388
680,389
680,390
681,392
682,394
683,395
683,395
684,396
684,396
684,396
684,396
684,396
684,396
683,395
683,395
683,395
684,395
684,395
684,395
686,396
687,396
690,398
694,402
701,409
701,409
713,421
729,439
750,464
775,495
803,533
803,533
833,573
865,598
904,617
0,0
0,0
0,0
0,0
0,0
0,0
0,0
