X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
916,612
890,590
864,549
842,505
825,468
825,468
813,435
804,410
798,390
795,376
794,366
794,366
794,358
796,352
797,349
798,348
798,349
798,349
798,351
798,354
799,358
800,362
802,364
802,364
803,366
803,368
802,368
799,368
794,368
794,368
787,366
779,364
771,361
764,356
756,349
756,349
747,342
738,338
730,335
722,332
716,331
716,331
710,330
706,330
704,330
702,330
702,330
702,330
702,330
701,330
701,330
701,329
701,328
701,328
701,327
700,327
698,326
697,326
695,327
695,327
694,328
693,329
692,330
692,330
692,330
692,330
692,330
691,329
691,329
692,328
692,327
692,327
693,327
695,328
698,329
702,332
708,337
708,337
716,347
726,361
738,381
752,409
769,445
769,445
789,489
811,537
834,581
857,607
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
