X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
818,605
818,605
803,584
792,557
784,523
779,496
776,472
776,473
774,453
772,437
770,425
768,414
766,407
766,407
764,401
763,396
764,393
764,390
765,389
765,389
766,388
767,388
766,388
765,388
764,389
764,389
762,390
762,390
761,391
760,392
759,392
759,392
757,392
754,391
750,389
743,386
736,383
736,383
726,380
716,377
707,375
698,373
688,373
688,373
678,373
670,373
662,374
656,374
651,375
651,375
649,376
646,376
645,377
643,378
643,379
643,379
643,379
643,379
644,379
644,379
644,379
644,379
644,379
644,378
644,377
644,377
644,376
644,376
643,375
643,375
643,375
645,375
649,376
649,376
657,380
668,388
683,401
702,420
724,443
724,443
746,470
771,500
798,532
828,566
828,566
863,589
902,607
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
