X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
886,614
859,594
834,562
814,522
798,488
798,488
787,459
779,434
775,415
773,400
773,388
773,388
773,380
774,375
775,373
777,372
778,373
778,373
779,374
781,376
781,378
782,380
782,382
782,382
782,384
782,385
782,386
781,387
781,388
781,388
780,388
780,389
780,389
779,389
779,390
779,390
778,390
776,390
774,389
770,386
764,383
764,383
756,378
747,373
739,369
731,366
722,363
722,363
714,361
706,360
698,359
691,360
685,362
685,362
681,365
677,369
674,373
672,376
670,380
670,380
669,384
669,387
668,388
668,389
668,389
668,389
668,388
668,387
668,387
668,386
668,385
668,385
668,384
668,383
668,383
669,382
670,382
670,382
671,381
672,381
673,381
673,381
673,382
673,382
674,383
675,385
677,388
680,392
685,399
685,399
695,411
710,429
731,453
756,482
783,517
783,518
813,556
845,592
876,612
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
