X,Y
0,0
0,0
0,0
0,0
869,612
869,612
842,583
820,531
807,478
798,433
791,401
791,401
787,378
782,364
778,357
773,354
769,354
769,354
766,357
762,361
759,365
755,367
750,368
750,368
747,366
745,363
742,358
738,351
737,349
737,349
732,352
725,357
721,364
719,372
718,380
718,380
719,385
720,389
722,389
724,387
726,381
726,381
728,373
725,364
723,360
724,360
726,359
726,359
726,361
727,364
726,367
726,369
725,371
725,371
725,372
725,372
725,372
725,372
722,373
722,373
718,373
711,371
702,369
692,367
683,365
683,365
674,365
666,364
660,365
655,366
652,368
652,368
649,370
649,372
649,374
650,376
652,378
652,378
652,379
652,381
651,382
650,384
649,385
649,385
649,386
648,386
648,386
648,386
648,386
648,386
648,385
647,385
646,385
646,385
645,385
645,385
645,385
645,385
645,384
647,385
651,387
651,387
659,392
672,403
690,419
711,441
736,470
736,470
765,505
799,547
838,585
883,608
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
