X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
810,610
789,594
773,573
773,573
759,538
749,507
742,481
737,458
733,439
733,439
730,424
726,411
723,401
721,393
719,387
719,387
719,383
718,380
718,378
718,378
718,378
718,378
717,378
716,378
715,378
714,378
713,378
713,378
712,378
711,378
711,379
711,379
711,379
711,379
710,379
709,378
706,377
702,377
698,377
698,377
693,378
685,379
677,378
669,376
660,371
660,371
652,365
644,360
637,356
632,353
627,352
627,352
624,352
621,353
619,354
618,355
617,358
617,358
617,359
617,360
616,361
615,361
613,362
613,362
612,363
611,364
611,365
610,367
610,368
610,368
609,368
609,368
608,368
608,368
608,368
608,368
608,368
608,368
609,368
611,369
614,369
614,369
619,370
628,373
641,378
658,388
679,403
679,403
704,422
732,447
761,475
790,506
820,539
820,539
849,572
883,594
918,612
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
