X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
912,611
886,590
861,557
842,522
827,492
827,492
816,466
807,444
799,427
794,413
789,402
789,402
786,394
783,390
779,386
776,384
773,384
773,384
771,384
770,384
769,384
769,385
768,385
768,385
768,385
768,385
768,384
769,384
769,384
769,384
769,383
766,382
762,380
755,378
748,375
748,375
738,372
728,370
716,369
705,366
694,364
694,364
685,364
677,365
670,366
664,368
660,370
660,370
657,373
656,376
656,377
656,378
657,378
657,378
658,379
659,379
660,380
661,380
662,381
662,381
663,381
664,381
664,381
664,381
664,381
664,381
664,381
664,381
664,382
665,382
666,382
666,382
667,384
669,387
671,391
674,396
678,403
678,403
684,412
692,425
702,443
715,466
732,496
732,496
754,530
782,569
817,595
858,614
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
