X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
898,618
882,599
866,579
854,549
846,517
846,517
839,489
834,466
831,447
828,431
826,419
826,419
823,410
820,403
817,398
816,395
814,393
814,393
814,393
813,394
813,395
813,396
812,397
812,397
812,398
811,398
811,399
811,399
811,399
811,399
810,399
808,398
804,397
798,395
790,392
790,392
780,389
768,388
755,387
742,386
728,385
728,385
716,386
705,388
697,393
693,396
690,396
690,396
689,396
689,397
689,398
690,400
690,402
690,402
690,403
690,404
691,403
691,402
691,398
691,398
692,394
692,389
692,387
692,385
690,385
690,385
689,385
688,386
687,387
687,388
687,388
687,388
687,389
687,389
687,389
687,389
688,389
688,389
688,389
689,389
690,389
694,391
700,396
700,396
710,405
723,420
740,439
759,462
780,488
780,488
802,516
824,547
848,576
875,596
903,613
904,613
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
