X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
919,622
923,603
923,603
904,575
884,535
860,492
840,454
825,424
825,424
813,402
804,388
796,381
791,379
787,380
787,380
786,385
786,389
786,392
785,392
785,390
785,390
785,385
786,376
789,364
793,356
798,351
798,351
802,348
804,347
805,349
805,351
804,355
804,355
803,358
803,359
802,360
802,360
801,360
801,360
800,359
797,359
790,358
780,357
766,355
766,355
750,355
733,355
718,356
705,357
694,358
694,358
685,359
678,360
674,362
671,364
669,366
669,366
668,368
666,369
665,370
664,372
664,373
664,373
664,374
665,375
666,375
666,375
666,374
666,374
666,374
666,374
666,374
666,374
667,375
666,375
668,376
670,377
671,379
674,381
678,383
678,383
686,388
699,397
715,409
736,429
759,457
759,457
785,489
814,526
845,567
881,597
927,620
927,620
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
