X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
910,617
895,597
895,597
878,578
866,556
858,526
852,498
846,473
846,473
842,451
839,433
836,417
832,405
829,395
829,395
826,388
823,382
822,378
820,375
819,373
819,373
819,372
819,373
819,374
818,375
818,376
818,376
816,377
816,378
815,379
815,379
815,379
815,379
815,379
815,378
815,378
815,378
814,378
814,378
812,378
809,378
803,378
795,379
788,379
788,379
780,379
771,379
763,379
754,378
747,378
747,378
739,378
733,379
727,381
721,383
717,385
717,385
714,386
712,388
710,389
708,392
707,394
707,394
706,396
705,398
705,399
704,401
705,402
705,402
705,402
706,402
706,402
706,401
705,401
705,401
705,401
705,401
704,401
705,402
706,402
706,402
709,405
715,409
724,418
738,432
757,452
757,452
779,478
803,509
830,544
857,579
885,602
885,602
914,618
0,0
0,0
0,0
0,0
0,0
0,0
0,0
